Patient Events					
Patient Events	Adverse reaction	data\Views\appt_comp2.png			
Patient Events	Adverse drug reaction  (not a medication error/not preventable)				
Patient Events	Adverse drug reaction  (not a medication error/not preventable)	Dietary supplements/feedings			
Patient Events	Adverse drug reaction  (not a medication error/not preventable)	Latex/tapes			
Patient Events	Adverse drug reaction  (not a medication error/not preventable)	Other (for contrast reaction, see Radiology/imaging test)"			
Patient Events	Anesthesia event				
Patient Events	Anesthesia event	Airway management issues			
Patient Events	Anesthesia event	Airway management issues	Difficulty maintaining airway during procedure		
Patient Events	Anesthesia event	Airway management issues	Difficulty or trauma during tracheal intubation		
Patient Events	Anesthesia event	Airway management issues	Esophageal intubation		
Patient Events	Anesthesia event	Airway management issues	Reintubation, following extubation, in OR or recovery		
Patient Events	Anesthesia event	Airway management issues	Other (specify)		
Patient Events	Anesthesia event	Aspiration			
Patient Events	Anesthesia event	Awareness during anesthesia			
Patient Events	Anesthesia event	Injury related to anesthesia			
Patient Events	Anesthesia event	Injury related to anesthesia	Dental		data/Views/appt_comp3.png
Patient Events	Anesthesia event	Injury related to anesthesia	Ocular		
Patient Events	Anesthesia event	Injury related to anesthesia	Peripheral nerve	data/Views/tcu_appt_v4.png	
Patient Events	Anesthesia event	Injury related to anesthesia	Other (specify)		
Patient Events	Anesthesia event	Injury related to anesthesia	Malignant hyperthermia		
Patient Events	Anesthesia event	Injury related to anesthesia	Problems with anesthesia, medical gas, or other substance		
Patient Events	Anesthesia event	Injury related to anesthesia	Problems with device used in delivery of anesthesia		
Patient Events	Anesthesia event	Injury related to anesthesia	Prolonged recovery time		
Patient Events	Anesthesia event	Injury related to anesthesia	Unplanned use of reversal agents		
Patient Events	Anesthesia event	Injury related to anesthesia	Other (specify)		
Patient Events	Behavioral event				
Patient Events	Behavioral event	Assault			
Patient Events	Behavioral event	Assault	Assault by patient		
Patient Events	Behavioral event	Assault	Assault by staff member		
Patient Events	Behavioral event	Assault	Assault by visitor		
Patient Events	Behavioral event	Consensual sexual activity			
Patient Events	Behavioral event	Contraband/unauthorized objects			
Patient Events	Behavioral event	Destruction of property			
Patient Events	Behavioral event	Disruptive behavior			
Patient Events	Behavioral event	Refusal of therapy	data/Views/tcu_sch_v3d1.png		
Patient Events	Behavioral event	Restraint-related injury/death			
Patient Events	Behavioral event	Seclusion injury/death			
Patient Events	Behavioral event	Self-harm or injury			
Patient Events	Behavioral event	Sexual assault/rape			
Patient Events	Behavioral event	Suicide or suicide attempt			
Patient Events	Behavioral event	Threat by patient			
Patient Events	Behavioral event	Other (specify)			
Patient Events	Care coordination/communication				
Patient Events	Care coordination/communication	Access to care problem			
Patient Events	Care coordination/communication	Access to care problem	Bed not available		
Patient Events	Care coordination/communication	Access to care problem	Delay in transfer		
Patient Events	Care coordination/communication	Access to care problem	Delay in treatment		
Patient Events	Care coordination/communication	Access to care problem	Inappropriate level of care		
Patient Events	Care coordination/communication	Access to care problem	Inappropriate transfer		
Patient Events	Care coordination/communication	Access to care problem	Transportation unavailable/delayed		
Patient Events	Care coordination/communication	Access to care problem	Treatment room not available		
Patient Events	Care coordination/communication	Access to care problem	Other (specify)		
Patient Events	Communication inadequate				
Patient Events	Communication inadequate	With other providers WITHIN patient care area			
Patient Events	Communication inadequate	With other providers in OTHER patient care areas			
Patient Events	Communication inadequate	With other providers in ancillary departments (e.g., laboratory, pharmacy, radiology)"			
Patient Events	Communication inadequate	With outside providers/agencies			
Patient Events	Communication inadequate	With patient or family			
Patient Events	Communication inadequate	Other (specify)			
Patient Events	Communication inadequate	Message handling/response problem			
Patient Events	Communication inadequate	Provider not available			
Patient Events	Communication inadequate	Referral/consult problem			
Patient Events	Communication inadequate	Referral/consult problem	Delay in scheduling		
