Customer Id,Customer Id (copy),Order Date,Order Id,Product Id,Row Id,Ship Date,Ship Mode,Discount,Profit,Quantity,Sales
CG-12520,CG-12520,8/11/2016,CA-2016-152156,FUR-BO-10001798,1,11/11/2016,Second Class,0,41.9136,2,261.96
CG-12520,CG-12520,8/11/2016,CA-2016-152156,FUR-CH-10000454,2,11/11/2016,Second Class,0,219.582,3,731.94
DV-13045,DV-13045,12/06/2016,CA-2016-138688,OFF-LA-10000240,3,16/06/2016,Second Class,0,6.8714,2,14.62
SO-20335,SO-20335,11/10/2015,US-2015-108966,FUR-TA-10000577,4,18/10/2015,Standard Class,0.45,-383.031,5,957.5775
SO-20335,SO-20335,11/10/2015,US-2015-108966,OFF-ST-10000760,5,18/10/2015,Standard Class,0.2,2.5164,2,22.368
BH-11710,BH-11710,9/06/2014,CA-2014-115812,FUR-FU-10001487,6,14/06/2014,Standard Class,0,14.1694,7,48.86
BH-11710,BH-11710,9/06/2014,CA-2014-115812,OFF-AR-10002833,7,14/06/2014,Standard Class,0,1.9656,4,7.28
BH-11710,BH-11710,9/06/2014,CA-2014-115812,TEC-PH-10002275,8,14/06/2014,Standard Class,0.2,90.7152,6,907.152
BH-11710,BH-11710,9/06/2014,CA-2014-115812,OFF-BI-10003910,9,14/06/2014,Standard Class,0.2,5.7825,3,18.504
BH-11710,BH-11710,9/06/2014,CA-2014-115812,OFF-AP-10002892,10,14/06/2014,Standard Class,0,34.47,5,114.9
BH-11710,BH-11710,9/06/2014,CA-2014-115812,FUR-TA-10001539,11,14/06/2014,Standard Class,0.2,85.3092,9,1706.184
BH-11710,BH-11710,9/06/2014,CA-2014-115812,TEC-PH-10002033,12,14/06/2014,Standard Class,0.2,68.3568,4,911.424
AA-10480,AA-10480,15/04/2017,CA-2017-114412,OFF-PA-10002365,13,20/04/2017,Standard Class,0.2,5.4432,3,15.552
IM-15070,IM-15070,5/12/2016,CA-2016-161389,OFF-BI-10003656,14,10/12/2016,Standard Class,0.2,132.5922,3,407.976
HP-14815,HP-14815,22/11/2015,US-2015-118983,OFF-AP-10002311,15,26/11/2015,Standard Class,0.8,-123.858,5,68.81
HP-14815,HP-14815,22/11/2015,US-2015-118983,OFF-BI-10000756,16,26/11/2015,Standard Class,0.8,-3.816,3,2.544
PK-19075,PK-19075,11/11/2014,CA-2014-105893,OFF-ST-10004186,17,18/11/2014,Standard Class,0,13.3176,6,665.88
AG-10270,AG-10270,13/05/2014,CA-2014-167164,OFF-ST-10000107,18,15/05/2014,Second Class,0,9.99,2,55.5
ZD-21925,ZD-21925,27/08/2014,CA-2014-143336,OFF-AR-10003056,19,1/09/2014,Second Class,0,2.4824,2,8.56
ZD-21925,ZD-21925,27/08/2014,CA-2014-143336,TEC-PH-10001949,20,1/09/2014,Second Class,0.2,16.011,3,213.48
ZD-21925,ZD-21925,27/08/2014,CA-2014-143336,OFF-BI-10002215,21,1/09/2014,Second Class,0.2,7.384,4,22.72
KB-16585,KB-16585,9/12/2016,CA-2016-137330,OFF-AR-10000246,22,13/12/2016,Standard Class,0,5.0596,7,19.46
KB-16585,KB-16585,9/12/2016,CA-2016-137330,OFF-AP-10001492,23,13/12/2016,Standard Class,0,15.6884,7,60.34
SF-20065,SF-20065,16/07/2017,US-2017-156909,FUR-CH-10002774,24,18/07/2017,Second Class,0.3,-1.0196,2,71.372
EB-13870,EB-13870,25/09/2015,CA-2015-106320,FUR-TA-10000577,25,30/09/2015,Standard Class,0,240.2649,3,1044.63
EH-13945,EH-13945,16/01/2016,CA-2016-121755,OFF-BI-10001634,26,20/01/2016,Second Class,0.2,4.2224,2,11.648
EH-13945,EH-13945,16/01/2016,CA-2016-121755,TEC-AC-10003027,27,20/01/2016,Second Class,0,11.7741,3,90.57
TB-21520,TB-21520,17/09/2015,US-2015-150630,FUR-BO-10004834,28,21/09/2015,Standard Class,0.5,-1665.0522,7,3083.43
TB-21520,TB-21520,17/09/2015,US-2015-150630,OFF-BI-10000474,29,21/09/2015,Standard Class,0.7,-7.0532,2,9.618
TB-21520,TB-21520,17/09/2015,US-2015-150630,FUR-FU-10004848,30,21/09/2015,Standard Class,0.2,15.525,3,124.2
TB-21520,TB-21520,17/09/2015,US-2015-150630,OFF-EN-10001509,31,21/09/2015,Standard Class,0.2,1.1016,2,3.264
TB-21520,TB-21520,17/09/2015,US-2015-150630,OFF-AR-10004042,32,21/09/2015,Standard Class,0.2,9.7092,6,86.304
TB-21520,TB-21520,17/09/2015,US-2015-150630,OFF-BI-10001525,33,21/09/2015,Standard Class,0.7,-5.715,6,6.858
TB-21520,TB-21520,17/09/2015,US-2015-150630,OFF-AR-10001683,34,21/09/2015,Standard Class,0.2,3.546,2,15.76
MA-17560,MA-17560,19/10/2017,CA-2017-107727,OFF-PA-10000249,35,23/10/2017,Second Class,0.2,9.9468,3,29.472
GH-14485,GH-14485,8/12/2016,CA-2016-117590,TEC-PH-10004977,36,10/12/2016,First Class,0.2,123.4737,7,1097.544
GH-14485,GH-14485,8/12/2016,CA-2016-117590,FUR-FU-10003664,37,10/12/2016,First Class,0.6,-147.963,5,190.92
SN-20710,SN-20710,27/12/2015,CA-2015-117415,OFF-EN-10002986,38,31/12/2015,Standard Class,0.2,35.415,9,113.328
SN-20710,SN-20710,27/12/2015,CA-2015-117415,FUR-BO-10002545,39,31/12/2015,Standard Class,0.32,-46.9764,3,532.3992
SN-20710,SN-20710,27/12/2015,CA-2015-117415,FUR-CH-10004218,40,31/12/2015,Standard Class,0.3,-15.147,3,212.058
SN-20710,SN-20710,27/12/2015,CA-2015-117415,TEC-PH-10000486,41,31/12/2015,Standard Class,0.2,41.7564,4,371.168
LC-16930,LC-16930,10/09/2017,CA-2017-120999,TEC-PH-10004093,42,15/09/2017,Standard Class,0.2,16.5564,4,147.168
RA-19885,RA-19885,17/07/2016,CA-2016-101343,OFF-ST-10003479,43,22/07/2016,Standard Class,0,3.894,2,77.88
ES-14080,ES-14080,19/09/2017,CA-2017-139619,OFF-ST-10003282,44,23/09/2017,Standard Class,0.2,9.5616,2,95.616
ON-18715,ON-18715,11/03/2016,CA-2016-118255,TEC-AC-10000171,45,13/03/2016,First Class,0,19.7714,2,45.98
ON-18715,ON-18715,11/03/2016,CA-2016-118255,OFF-BI-10003291,46,13/03/2016,First Class,0,8.2062,2,17.46
PO-18865,PO-18865,20/10/2014,CA-2014-146703,OFF-ST-10001713,47,25/10/2014,Second Class,0,8.4784,4,211.96
LH-16900,LH-16900,20/06/2016,CA-2016-169194,TEC-AC-10002167,48,25/06/2016,Standard Class,0,4.95,3,45
LH-16900,LH-16900,20/06/2016,CA-2016-169194,TEC-PH-10003988,49,25/06/2016,Standard Class,0,6.104,2,21.8
DP-13000,DP-13000,18/04/2015,CA-2015-115742,OFF-BI-10004410,50,22/04/2015,Standard Class,0,17.9634,6,38.22
DP-13000,DP-13000,18/04/2015,CA-2015-115742,OFF-LA-10002762,51,22/04/2015,Standard Class,0,35.3346,6,75.18
DP-13000,DP-13000,18/04/2015,CA-2015-115742,FUR-FU-10001706,52,22/04/2015,Standard Class,0,2.9568,2,6.16
DP-13000,DP-13000,18/04/2015,CA-2015-115742,FUR-CH-10003061,53,22/04/2015,Standard Class,0,17.0981,1,89.99
JM-15265,JM-15265,11/12/2016,CA-2016-105816,OFF-FA-10000304,54,17/12/2016,Standard Class,0,6.2566,7,15.26
JM-15265,JM-15265,11/12/2016,CA-2016-105816,TEC-PH-10002447,55,17/12/2016,Standard Class,0,298.6855,5,1029.95
TB-21055,TB-21055,17/06/2016,CA-2016-111682,OFF-ST-10000604,56,18/06/2016,First Class,0,52.14,6,208.56
TB-21055,TB-21055,17/06/2016,CA-2016-111682,OFF-PA-10001569,57,18/06/2016,First Class,0,15.552,5,32.4
TB-21055,TB-21055,17/06/2016,CA-2016-111682,FUR-CH-10003968,58,18/06/2016,First Class,0.1,7.098,5,319.41
