Category,ID (PRODUCT.csv),NAME (PRODUCT.csv),Subcategory
Bookcases,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase
Chairs,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
Labels,OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal
Tables,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table
Storage,OFF-ST-10000760,Office Supplies,Eldon Fold N Roll Cart System
Furnishings,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
Art,OFF-AR-10002833,Office Supplies,Newell 322
Phones,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone
Binders,OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill
Appliances,OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge
Tables,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables
Phones,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black
Paper,OFF-PA-10002365,Office Supplies,Xerox 1967
Binders,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine
Appliances,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
Binders,OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders
Storage,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
Storage,OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer
Art,OFF-AR-10003056,Office Supplies,Newell 341
Phones,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone
Binders,OFF-BI-10002215,Office Supplies,"Wilson Jones Hanging View Binder, White, 1"""
Art,OFF-AR-10000246,Office Supplies,Newell 318
Appliances,OFF-AP-10001492,Office Supplies,"Acco Six-Outlet Power Strip, 4 Cord Length"
Chairs,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray"
Binders,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders
Accessories,TEC-AC-10003027,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
Bookcases,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
Binders,OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems
Furnishings,FUR-FU-10004848,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
Envelopes,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes
Art,OFF-AR-10004042,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
Binders,OFF-BI-10001525,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
Art,OFF-AR-10001683,Office Supplies,Lumber Crayons
Paper,OFF-PA-10000249,Office Supplies,Easy-staple paper
Phones,TEC-PH-10004977,Technology,GE 30524EE4
Furnishings,FUR-FU-10003664,Furniture,"Electrix Architects Clamp-On Swing Arm Lamp, Black"
Envelopes,OFF-EN-10002986,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
Bookcases,FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
Chairs,FUR-CH-10004218,Furniture,"Global Fabric Managers Chair, Dark Gray"
Phones,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter
Phones,TEC-PH-10004093,Technology,Panasonic Kx-TS550
Storage,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum"
Storage,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
Accessories,TEC-AC-10000171,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
Binders,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings
Storage,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
Accessories,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
Phones,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
Binders,OFF-BI-10004410,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
Labels,OFF-LA-10002762,Office Supplies,Avery 485
Furnishings,FUR-FU-10001706,Furniture,Longer-Life Soft White Bulbs
Chairs,FUR-CH-10003061,Furniture,"Global Leather Task Chair, Black"
Fasteners,OFF-FA-10000304,Office Supplies,Advantus Push Pins
Phones,TEC-PH-10002447,Technology,AT&T CL83451 4-Handset Telephone
Storage,OFF-ST-10000604,Office Supplies,Home/Office Personal File Carts
Paper,OFF-PA-10001569,Office Supplies,Xerox 232
Chairs,FUR-CH-10003968,Furniture,Novimex Turbo Task Chair
Paper,OFF-PA-10000587,Office Supplies,"Array Parchment Paper, Assorted Colors"
Binders,OFF-BI-10001460,Office Supplies,Plastic Binding Combs
Art,OFF-AR-10001868,Office Supplies,Prang Dustless Chalk Sticks
Accessories,TEC-AC-10004633,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
Binders,OFF-BI-10001078,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
Paper,OFF-PA-10003892,Office Supplies,Xerox 1943
Furnishings,FUR-FU-10000397,Furniture,Luxo Economy Swing Arm Lamp
Chairs,FUR-CH-10001146,Furniture,"Global Value Mid-Back Managers Chair, Gray"
Art,OFF-AR-10002671,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
Phones,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service
Paper,OFF-PA-10000482,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
Binders,OFF-BI-10004654,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets
Paper,OFF-PA-10004675,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
Chairs,FUR-CH-10000513,Furniture,High-Back Leather Managers Chair
Furnishings,FUR-FU-10003708,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
Storage,OFF-ST-10004123,Office Supplies,Safco Industrial Wire Shelving System
Binders,OFF-BI-10004182,Office Supplies,Economy Binders
Furnishings,FUR-FU-10000260,Furniture,"6"" Cubicle Wall Clock, Black"
Storage,OFF-ST-10000615,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
Furnishings,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
Appliances,OFF-AP-10002118,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
Binders,OFF-BI-10002309,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings
Art,OFF-AR-10002053,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
Storage,OFF-ST-10002370,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black"
Envelopes,OFF-EN-10000927,Office Supplies,Jet-Pak Recycled Peel N Seal Padded Mailers
Storage,OFF-ST-10003656,Office Supplies,Safco Industrial Wire Shelving
Chairs,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair
Accessories,TEC-AC-10001998,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
Labels,OFF-LA-10000134,Office Supplies,Avery 511
Storage,OFF-ST-10003442,Office Supplies,Eldon Portable Mobile Manager
Art,OFF-AR-10004930,Office Supplies,Turquoise Lead Holder with Pocket Clip
Paper,OFF-PA-10000304,Office Supplies,Xerox 1995
Paper,OFF-PA-10003177,Office Supplies,Xerox 1999
Furnishings,FUR-FU-10003799,Furniture,"Seth Thomas 13 1/2"" Wall Clock"
Binders,OFF-BI-10002852,Office Supplies,Ibico Standard Transparent Covers
Binders,OFF-BI-10004738,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder
Furnishings,FUR-FU-10000629,Furniture,9-3/4 Diameter Round Wall Clock
Binders,OFF-BI-10001721,Office Supplies,Trimflex Flexible Post Binders
Appliances,OFF-AP-10000358,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors
Paper,OFF-PA-10003256,Office Supplies,Avery Personal Creations Heavyweight Cards
Accessories,TEC-AC-10001767,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
Binders,OFF-BI-10002609,Office Supplies,Avery Hidden Tab Dividers for Binding Systems
Paper,OFF-PA-10004040,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
Accessories,TEC-AC-10001552,Technology,Logitech K350 2.4Ghz Wireless Keyboard
Furnishings,FUR-FU-10004006,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
Binders,OFF-BI-10002794,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
Accessories,TEC-AC-10003499,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
Phones,TEC-PH-10002844,Technology,Speck Products Candyshell Flip Case
Art,OFF-AR-10000390,Office Supplies,Newell Chalk Holder
